epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.99870783,0.98227364,0.3840573,0.84498084,0.9758917,0.934217,0.9024971,0.18723533064126968,0.9988093376159668,0.9848697781562805,0.2900410592556,0.751329779624939,0.9759063720703125,0.9671468138694763,0.8904141187667847,0.16933003067970276
1,0.99872094,0.99321085,0.45063496,0.8505983,0.98650813,0.9837643,0.91349226,0.13068456187844277,0.9996641278266907,0.984307587146759,0.3011435866355896,0.6303191781044006,0.978515625,0.9334239363670349,0.959050714969635,0.17287468910217285
2,0.99892205,0.9942095,0.46959755,0.853087,0.98828596,0.9840988,0.9198703,0.1181860214471817,0.9998153448104858,0.9847375154495239,0.3168061673641205,0.6542553305625916,0.9793853759765625,0.9357466101646423,0.9623080492019653,0.16452562808990479
3,0.9988053,0.9942521,0.47691157,0.8486803,0.9880397,0.9856905,0.92198473,0.11665622591972351,0.9994308352470398,0.9872344136238098,0.34359341859817505,0.6382978558540344,0.9810333251953125,0.9323034882545471,0.9548627138137817,0.15906059741973877
4,0.9987855,0.9945058,0.48806685,0.8496475,0.98827136,0.9865333,0.92406356,0.11549141138792038,0.999596118927002,0.9822571277618408,0.30456534028053284,0.647606372833252,0.9770965576171875,0.9177566170692444,0.9632387161254883,0.16855642199516296
