epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.9988472,0.9816951,0.37180033,0.84253967,0.97563285,0.931369,0.90197134,0.1846249581873417,0.999467134475708,0.9873336553573608,0.3638497591018677,0.8806818127632141,0.982086181640625,0.9825350642204285,0.9213399291038513,0.14394472539424896
1,0.9989299,0.99358046,0.44105026,0.8500032,0.9872396,0.98319685,0.91209143,0.12591263711452483,0.999599039554596,0.9842081665992737,0.36357948184013367,0.8252840638160706,0.9798126220703125,0.9294636249542236,0.9416873455047607,0.14834299683570862
2,0.99905944,0.9942372,0.45290384,0.8512192,0.98845905,0.9805951,0.9158736,0.11589490801095963,0.9993006587028503,0.9872678518295288,0.39263802766799927,0.9090909361839294,0.98309326171875,0.978684663772583,0.9342432022094727,0.1286660134792328
3,0.99902433,0.99460953,0.4579374,0.8457786,0.9887534,0.98412997,0.91767913,0.1111850717663765,0.9987544417381287,0.9892582893371582,0.392673522233963,0.8678977489471436,0.98284912109375,0.9702681303024292,0.906947910785675,0.12830640375614166
4,0.99892324,0.99463385,0.46883038,0.84614915,0.9885388,0.98553777,0.91911924,0.11079448014497757,0.999416708946228,0.9864453673362732,0.3888174891471863,0.859375,0.9816436767578125,0.9439416527748108,0.9317618012428284,0.12903431057929993
