epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.999031,0.9812952,0.37300846,0.8482227,0.9758208,0.934472,0.9042086,0.18109056547284128,0.9911242127418518,0.9907022714614868,0.3426183760166168,0.7809523940086365,0.967559814453125,0.9583600163459778,0.7662625908851624,0.21997618675231934
1,0.9990796,0.99157584,0.4282573,0.8593266,0.98599064,0.96473765,0.91305053,0.12526651665568353,0.9955170154571533,0.9831925630569458,0.33657917380332947,0.841269850730896,0.9676361083984375,0.9420514106750488,0.8326788544654846,0.2108987420797348
2,0.9991552,0.9939646,0.44260243,0.86592656,0.9883983,0.9840562,0.9130064,0.11374924063682557,0.9925746917724609,0.9924732446670532,0.399684876203537,0.8052909970283508,0.9750213623046875,0.9869759678840637,0.8280689716339111,0.18711945414543152
3,0.99909186,0.9944999,0.46068737,0.8578898,0.9889053,0.98560274,0.91730684,0.11012091472744942,0.9900262951850891,0.9939207434654236,0.4028351902961731,0.7216930985450745,0.974395751953125,0.9826104640960693,0.8200443983078003,0.20561161637306213
4,0.99903697,0.9947896,0.4704651,0.85466874,0.989264,0.9864579,0.91925424,0.10648742228746415,0.9912776947021484,0.9966793656349182,0.38885697722435,0.7164021134376526,0.97540283203125,0.9915807247161865,0.804336667060852,0.19331105053424835
