epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.99865526,0.9845283,0.3869228,0.8398416,0.97762316,0.948979,0.90262365,0.17739812776446343,0.9997190237045288,0.9970263242721558,0.25,0.8737373948097229,0.9916839599609375,0.9885641932487488,0.7028003334999084,0.05530066043138504
1,0.9986626,0.99309355,0.4491471,0.8467516,0.9860159,0.9841808,0.91270965,0.13232218518853187,0.9998125433921814,0.9965592622756958,0.31789472699165344,0.7626262903213501,0.993927001953125,0.9403846263885498,0.8834688067436218,0.05392780900001526
2,0.9988713,0.9940378,0.46462178,0.8479359,0.98764116,0.9839205,0.9172568,0.12062305137515068,0.9998279213905334,0.9951735734939575,0.2819383144378662,0.6464646458625793,0.9931640625,0.9035621285438538,0.9394760727882385,0.05857286974787712
3,0.99878263,0.9940164,0.47187495,0.8457881,0.9874163,0.98568463,0.9200775,0.11956163391470909,0.9996404051780701,0.9953915476799011,0.24263039231300354,0.5404040217399597,0.9926605224609375,0.8910369277000427,0.9159891605377197,0.058600813150405884
4,0.9987463,0.99429506,0.4848577,0.8481751,0.9877329,0.98636603,0.9226434,0.11810971409082413,0.9987832903862,0.9968861937522888,0.2550790011882782,0.5707070827484131,0.99273681640625,0.930964469909668,0.8283649682998657,0.05496206134557724
