epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.99866647,0.9841472,0.385606,0.8395955,0.97733563,0.9462659,0.9014726,0.1799157027900219,0.9993012547492981,0.9994098544120789,0.3190348446369171,0.7300613522529602,0.9954376220703125,1.0,0.7791411280632019,0.04964859038591385
1,0.9987182,0.9929966,0.43807065,0.8475164,0.9861891,0.9817784,0.91151154,0.13007734775543212,0.9997979998588562,0.9992079734802246,0.4237288236618042,0.9202454090118408,0.9966888427734375,1.0,0.8445807695388794,0.04540527984499931
2,0.99886084,0.9936714,0.4521708,0.8511691,0.98734653,0.98376113,0.9145074,0.12203636929392815,0.9995805621147156,0.999223530292511,0.4838709533214569,0.8282208442687988,0.99737548828125,0.9988713264465332,0.9049080014228821,0.036322079598903656
3,0.9987397,0.99383473,0.46795875,0.84444773,0.9871788,0.98466307,0.91905767,0.12177295997738838,0.9993943572044373,0.9994409680366516,0.46212121844291687,0.7484662532806396,0.9972076416015625,0.9977142810821533,0.8926380276679993,0.035784050822257996
4,0.99875796,0.9942389,0.47599116,0.8460198,0.98776084,0.9863088,0.92042565,0.11680183559656143,0.9990997910499573,0.9996739029884338,0.36332181096076965,0.6441717743873596,0.996307373046875,1.0,0.8343558311462402,0.0358421616256237
