epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.9989923,0.98250395,0.3536498,0.8442646,0.97704047,0.92223495,0.9011911,0.1808956290781498,0.9980394840240479,0.9943969249725342,0.472737193107605,0.8450292348861694,0.9827728271484375,0.9902772903442383,0.9006058573722839,0.18530957400798798
1,0.9989774,0.9934057,0.42166275,0.85588133,0.9875144,0.98280597,0.909665,0.12177265509963035,0.9985541105270386,0.9940199851989746,0.5112912654876709,0.8606237769126892,0.98492431640625,0.9886224269866943,0.9248403310775757,0.1713055670261383
2,0.9991822,0.9941467,0.43242845,0.8629015,0.98883533,0.98361784,0.9114157,0.11043225571513177,0.9989323019981384,0.9939343333244324,0.5295857787132263,0.8723196983337402,0.9858551025390625,0.9868443608283997,0.9335188865661621,0.1655750572681427
3,0.9990651,0.99429345,0.45128995,0.85549444,0.98858434,0.9846726,0.9159109,0.1091693440079689,0.9969496726989746,0.9968300461769104,0.5402455925941467,0.7719298005104065,0.9861297607421875,0.9886283874511719,0.9253315925598145,0.16674353182315826
4,0.99895996,0.9947485,0.4678129,0.8513573,0.9890476,0.9859614,0.9197296,0.10594310879707336,0.9975614547729492,0.9953393340110779,0.5173720717430115,0.7982456088066101,0.9851226806640625,0.9868927001953125,0.9246765971183777,0.162156343460083
