epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.99487823,0.9347878,0.4281297,0.93747354,0.91866463,0.93727845,0.84193957,0.37694532305002215,0.9986830949783325,0.9688742756843567,0.5052808523178101,0.9585365056991577,0.9531985521316528,0.986241340637207,0.8761261105537415,0.22163701057434082
1,0.9977657,0.96063876,0.49516174,0.9517285,0.94509643,0.980075,0.87617326,0.2581167681515217,0.9991982579231262,0.7639844417572021,0.18555384874343872,0.9686997532844543,0.7937884330749512,0.985399603843689,0.8899140357971191,0.48640552163124084
2,0.9980051,0.9663002,0.5071626,0.9506548,0.9491002,0.98709387,0.87575036,0.2258562694489956,0.9989663362503052,0.9676192998886108,0.518449068069458,0.9578487277030945,0.9559454321861267,0.988956093788147,0.8986489176750183,0.17417164146900177
3,0.99802125,0.97155863,0.5300407,0.95069826,0.9549049,0.9904083,0.88300824,0.2022837468981743,0.9985004663467407,0.9751318693161011,0.5421783924102783,0.9603230357170105,0.9595617651939392,0.9912738800048828,0.8849961161613464,0.17119918763637543
4,0.9978019,0.9712585,0.5300893,0.9502059,0.95438266,0.98894066,0.8815771,0.19750890031456947,0.9982014894485474,0.9775446653366089,0.5439464449882507,0.9560731053352356,0.9599505662918091,0.9911552667617798,0.877261757850647,0.1701170802116394
5,0.99807656,0.971833,0.5332739,0.9527421,0.95482934,0.9927142,0.88246465,0.18915502294898034,0.9987108111381531,0.9723219871520996,0.5381948351860046,0.961092472076416,0.9588427543640137,0.9882104992866516,0.8939568400382996,0.13314546644687653
6,0.9980321,0.9716053,0.5359012,0.95331264,0.9549252,0.99208933,0.88357025,0.18677606105804442,0.9983969926834106,0.9742974042892456,0.5453396439552307,0.9580551981925964,0.9600897431373596,0.9884068369865417,0.8940153121948242,0.15564435720443726
7,0.99814546,0.9723533,0.5415007,0.9551662,0.95609385,0.9929683,0.88671225,0.18023340046405792,0.9987725019454956,0.9742850065231323,0.5549535751342773,0.9597946405410767,0.9614715576171875,0.9878602027893066,0.900357723236084,0.1262228935956955
8,0.9981496,0.9719745,0.5423839,0.95556915,0.9556647,0.99232507,0.8866124,0.18074263587594033,0.9989124536514282,0.963934063911438,0.46512675285339355,0.9673267602920532,0.9465280175209045,0.9937999844551086,0.8581146001815796,0.1797747164964676
9,0.9981634,0.9722759,0.5387131,0.9557801,0.9557958,0.9930069,0.8852615,0.1786041247844696,0.9985321164131165,0.9758222699165344,0.5252364873886108,0.966133713722229,0.9572705030441284,0.9933439493179321,0.8655964136123657,0.16781970858573914
