epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.9989158,0.99033546,0.42253768,0.84796196,0.9840791,0.96840996,0.9074263,0.13782530151307582,0.9993513822555542,0.9984195232391357,0.5071942210197449,0.8597561120986938,0.9951171875,0.996602475643158,0.9123898148536682,0.05803755670785904
1,0.9989537,0.9948805,0.48286167,0.8518953,0.9891912,0.9857962,0.92233396,0.10661673787981271,0.9992403388023376,0.9978979825973511,0.4891696870326996,0.8262194991111755,0.99462890625,0.9877368807792664,0.918610692024231,0.05689140409231186
2,0.99899155,0.99530184,0.509922,0.8573305,0.9898405,0.9870543,0.92896044,0.10064261585474014,0.9989249110221863,0.9985933899879456,0.45989304780960083,0.7865853905677795,0.9943084716796875,0.9982588291168213,0.8916537165641785,0.057080142199993134
3,0.99910164,0.9958411,0.532822,0.86435163,0.9910265,0.987841,0.93544525,0.09204203648492694,0.9995723962783813,0.9974870681762695,0.503496527671814,0.8780487775802612,0.99505615234375,0.9923203587532043,0.9377915859222412,0.04956657439470291
4,0.999151,0.9961746,0.55986047,0.8709344,0.99175036,0.98869705,0.9427662,0.08884640499949455,0.9990825057029724,0.9981982707977295,0.4961389899253845,0.7835366129875183,0.99493408203125,0.9922265410423279,0.9263867139816284,0.0498574897646904
