epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.9986968,0.9837361,0.38474396,0.841967,0.9770197,0.9430784,0.90126115,0.1811791242659092,0.9970148205757141,0.9967503547668457,0.4404304325580597,0.7722371816635132,0.986175537109375,0.9977139830589294,0.8791405558586121,0.13880093395709991
1,0.9987352,0.9930919,0.43938783,0.8484312,0.98635274,0.98192877,0.91154563,0.12900384441018103,0.9985025525093079,0.9949928522109985,0.4667651355266571,0.8517520427703857,0.9873046875,0.9926470518112183,0.9064458608627319,0.13182637095451355
2,0.99889994,0.99379563,0.45498767,0.85290337,0.98757815,0.98321486,0.9150503,0.12114883556962014,0.9979561567306519,0.9957555532455444,0.4788273572921753,0.7924528121948242,0.9878082275390625,0.9888538718223572,0.9133840799331665,0.12251648306846619
3,0.9987635,0.9939697,0.47013342,0.8464946,0.9873933,0.9848216,0.9190355,0.1205131821334362,0.9969167113304138,0.9970985054969788,0.4805653691291809,0.7331536412239075,0.9879302978515625,0.9931355714797974,0.9066696763038635,0.12337494641542435
4,0.99880755,0.994354,0.4783745,0.84781384,0.988007,0.98656535,0.9207653,0.11522643581032753,0.9970166087150574,0.9973472356796265,0.4680497944355011,0.7601078152656555,0.9875030517578125,0.9977483153343201,0.892569363117218,0.1211966946721077
