epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.9987696,0.98118013,0.3761538,0.8403538,0.9752093,0.93088186,0.9044014,0.1857574874162674,0.9998741149902344,0.995580792427063,0.37025317549705505,0.8509091138839722,0.9932861328125,0.9736456871032715,0.922970175743103,0.0685359314084053
1,0.99884135,0.99328315,0.4407757,0.84982646,0.98679787,0.9821102,0.912707,0.12768781453371048,0.9999527931213379,0.996207594871521,0.40521737933158875,0.8472727537155151,0.994140625,0.9704610705375671,0.9347675442695618,0.060387369245290756
2,0.9989872,0.9942074,0.45561278,0.8515672,0.9883964,0.9822027,0.917557,0.11525414034724235,0.9999685287475586,0.9964897036552429,0.43087971210479736,0.8727272748947144,0.9946441650390625,0.975521981716156,0.9403192400932312,0.054130833595991135
3,0.9989782,0.9944485,0.46302167,0.84522784,0.9886978,0.98332685,0.9210611,0.11174333766102791,0.9998586773872375,0.9977590441703796,0.4485815465450287,0.9200000166893005,0.99493408203125,0.9899536371231079,0.8889660239219666,0.052348919212818146
4,0.99885803,0.99452376,0.4759075,0.850865,0.98846996,0.98570013,0.9218494,0.11203789860010147,0.9999213814735413,0.9968658089637756,0.454033762216568,0.8799999952316284,0.9950714111328125,0.9797979593276978,0.942401111125946,0.04932232201099396
