epoch,background_precision,background_recall,boundary_precision,boundary_recall,categorical_accuracy,interior_precision,interior_recall,loss,val_background_precision,val_background_recall,val_boundary_precision,val_boundary_recall,val_categorical_accuracy,val_interior_precision,val_interior_recall,val_loss
0,0.9988101,0.98196036,0.35747197,0.84179515,0.97562975,0.91841424,0.8995414,0.18481739565730096,0.9971712231636047,0.9914422631263733,0.3387453854084015,0.8292682766914368,0.969818115234375,0.9938157200813293,0.7905870676040649,0.21282516419887543
1,0.99876976,0.99297684,0.43409318,0.8482266,0.98624647,0.98260343,0.90972674,0.13036282017827033,0.9977562427520752,0.9913908243179321,0.4207373261451721,0.8247515559196472,0.9779052734375,0.9871038794517517,0.8786487579345703,0.1899937093257904
2,0.99897766,0.99363065,0.44336495,0.8541947,0.987668,0.9797,0.91383773,0.11919168069958687,0.9982534050941467,0.989967405796051,0.4317016303539276,0.836495041847229,0.9786834716796875,0.9847259521484375,0.8986552953720093,0.18542896211147308
3,0.99886113,0.9940072,0.45956403,0.8474265,0.98768467,0.98460406,0.9165583,0.11680868148803711,0.9961128234863281,0.9932087063789368,0.4355437755584717,0.7416440844535828,0.9792633056640625,0.9853021502494812,0.8904559016227722,0.19181397557258606
4,0.99881035,0.9943565,0.47235677,0.84793466,0.98800576,0.985987,0.91950905,0.1147123296558857,0.9947675466537476,0.9944263696670532,0.3801057040691376,0.7145438194274902,0.9751434326171875,0.9912875294685364,0.8396195769309998,0.20169156789779663
